"","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX","site.name","age_bacon","site_index_pol"
"410",62,50,51,13,22,8,8,7,108,0,0,11,11,1,0,4,1,0,4,7,1,2,"Stone Lake Tamarack Swamp",9331.36,"67"
"411",33,22,139,72,16,1,3,4,97,0,4,4,43,0,1,1,1,0,5,1,1,2,"Stone Lake Tamarack Swamp",9472,"67"
"415",58,47,95,14,7,0,3,1,22,12,0,8,11,0,0,1,0,8,7,0,0,0,"Vestaburg Bog",-2.4,"68"
"416",101,37,125,25,5,0,3,1,28,7,0,10,12,0,0,1,8,22,5,0,0,2,"Vestaburg Bog",11.9,"68"
"417",114,99,110,19,15,0,3,6,16,9,0,4,5,1,0,2,8,14,5,2,0,3,"Vestaburg Bog",26.18,"68"
"418",55,56,28,7,8,0,4,0,6,2,0,4,8,0,0,3,5,4,1,0,0,0,"Vestaburg Bog",39.58,"68"
"419",81,72,29,13,11,0,3,1,8,3,0,2,0,0,0,0,39,7,1,0,0,0,"Vestaburg Bog",53.08,"68"
"420",46,98,61,28,15,0,7,3,19,13,1,7,8,0,0,3,62,10,10,3,0,1,"Vestaburg Bog",67.78,"68"
"421",25,30,33,10,13,0,3,2,8,6,0,8,1,0,0,0,3,7,1,2,0,0,"Vestaburg Bog",82.6,"68"
"422",50,34,92,19,9,0,2,5,13,12,1,7,7,0,0,0,2,28,7,1,0,0,"Vestaburg Bog",108.46,"68"
"423",90,8,245,25,13,0,9,13,30,23,0,25,17,0,0,2,3,33,5,4,0,2,"Vestaburg Bog",167.58,"68"
"424",64,7,155,21,7,0,5,5,20,26,1,6,7,0,0,0,4,17,10,1,0,0,"Vestaburg Bog",333.84,"68"
"425",82,8,75,19,3,0,1,8,21,23,0,12,5,0,0,0,2,12,12,2,0,1,"Vestaburg Bog",546.56,"68"
"426",86,6,249,18,6,0,8,15,47,23,0,31,15,0,0,2,36,60,11,5,0,4,"Vestaburg Bog",781.2,"68"
"427",44,9,239,13,6,0,7,5,30,9,0,12,14,0,0,3,27,35,5,1,0,1,"Vestaburg Bog",983.2,"68"
"428",31,5,95,1,6,1,1,1,17,1,0,6,3,1,0,3,0,14,4,1,0,0,"Vestaburg Bog",1110.48,"68"
"429",23,3,100,2,14,3,4,4,6,4,0,8,0,6,0,7,2,17,0,0,0,0,"Vestaburg Bog",1321.72,"68"
"430",32,16,80,4,8,0,1,3,11,6,2,5,4,2,0,5,1,4,3,0,0,0,"Vestaburg Bog",1526.62,"68"
