"","site.id","lat","long","dataset","site.name","age_bacon","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"5663","287",43.083333,-89.866667,287,"Blue Mounds Creek",7852.0361518269,80,71,16,0,8,130,0,4,7,0,0,0,2,0,2,0,0,0,3,4,6,2
"5664","287",43.083333,-89.866667,287,"Blue Mounds Creek",8021.29375296115,70,66,20,0,9,132,4,0,10,0,0,6,0,0,0,0,0,0,1,0,6,0
"5665","287",43.083333,-89.866667,287,"Blue Mounds Creek",8190.5513540954,65,119,40,2,8,121,1,0,6,0,2,4,0,0,0,6,0,0,2,4,2,0
"5666","287",43.083333,-89.866667,287,"Blue Mounds Creek",8397.7039786871,68,165,20,0,9,142,0,0,0,0,0,0,0,0,1,0,0,0,4,7,2,1
"5667","287",43.083333,-89.866667,287,"Blue Mounds Creek",8683.59290141108,188,68,101,2,23,118,103,17,51,0,4,8,2,0,5,10,8,0,24,0,15,3
"5668","287",43.083333,-89.866667,287,"Blue Mounds Creek",9030.61458462334,62,105,20,0,4,131,0,0,3,0,0,1,3,0,0,0,0,0,5,3,5,0
"5669","287",43.083333,-89.866667,287,"Blue Mounds Creek",9411.45541085795,70,89,35,0,6,141,0,1,0,0,4,8,0,0,0,0,0,0,2,2,10,2
"5670","287",43.083333,-89.866667,287,"Blue Mounds Creek",9751.44686662899,62,71,31,0,10,132,2,1,2,0,6,10,2,0,3,2,0,0,1,1,7,1
"5671","287",43.083333,-89.866667,287,"Blue Mounds Creek",10100.4459661544,55,61,44,3,11,121,2,0,5,0,5,1,2,0,1,3,0,0,5,1,6,0
"5672","287",43.083333,-89.866667,287,"Blue Mounds Creek",10397.6779529545,58,93,35,5,7,150,1,0,4,0,8,0,6,0,0,3,2,0,2,0,10,4
"5673","287",43.083333,-89.866667,287,"Blue Mounds Creek",10685.3594472176,51,89,21,2,9,72,5,1,3,0,22,0,6,0,0,4,10,0,2,4,8,0
"5674","287",43.083333,-89.866667,287,"Blue Mounds Creek",10877.1471100596,28,15,7,10,7,27,4,0,3,0,163,0,2,0,0,0,22,0,0,0,4,0
"5675","287",43.083333,-89.866667,287,"Blue Mounds Creek",11105.552164104,18,8,2,6,5,31,0,0,0,0,158,0,1,0,0,0,12,0,0,0,0,0
"5682","287",43.083333,-89.866667,287,"Blue Mounds Creek",1023.79054155588,36,42,76,5,16,60,0,0,0,0,0,3,0,0,5,0,0,0,14,4,1,3
"5683","287",43.083333,-89.866667,287,"Blue Mounds Creek",1670.74412880153,82,66,98,6,12,85,5,4,1,0,2,4,2,0,3,0,0,0,7,1,4,7
"5684","287",43.083333,-89.866667,287,"Blue Mounds Creek",2311.51903237879,60,52,31,1,13,49,2,1,1,0,2,2,1,0,3,2,0,0,8,4,4,1
"5685","287",43.083333,-89.866667,287,"Blue Mounds Creek",2757.17807917095,65,49,54,1,13,53,1,2,2,0,0,3,2,0,3,2,0,0,5,2,7,2
"5686","287",43.083333,-89.866667,287,"Blue Mounds Creek",3219.3339969678,60,30,52,3,11,51,4,1,2,0,0,4,0,0,0,2,0,0,6,2,3,2
"5687","287",43.083333,-89.866667,287,"Blue Mounds Creek",4163.23512563554,67,56,44,0,7,52,0,0,0,0,0,9,3,0,10,5,0,0,2,3,3,0
"5688","287",43.083333,-89.866667,287,"Blue Mounds Creek",4643.17543530724,50,52,49,2,5,97,2,4,7,0,0,5,2,0,5,0,0,0,7,6,0,4
"5689","287",43.083333,-89.866667,287,"Blue Mounds Creek",5004.05538801773,45,71,61,0,8,93,0,2,10,0,0,8,2,0,0,3,0,0,7,6,5,5
"5890","298",47.1775,-95.162675,298,"Bog D Pond",479.301453228978,152,82,19,79,13,8,14,20,5,0,3,1,2,0,0,2,9,0,0,0,1,0
"5891","298",47.1775,-95.162675,298,"Bog D Pond",782.594961451184,169,169,25,62,19,13,26,9,5,0,3,4,4,3,1,0,9,0,2,0,2,0
"5892","298",47.1775,-95.162675,298,"Bog D Pond",1090.04553979767,190,236,19,37,8,5,8,7,6,0,8,1,1,11,1,2,7,0,0,0,2,0
"5893","298",47.1775,-95.162675,298,"Bog D Pond",1394.15472876021,219,37,13,44,17,2,10,2,2,0,0,1,3,1,0,0,9,0,0,0,0,0
"5894","298",47.1775,-95.162675,298,"Bog D Pond",1689.66592288324,161,64,19,61,8,9,16,13,7,0,4,2,3,1,2,1,4,0,0,0,1,0
"5896","298",47.1775,-95.162675,298,"Bog D Pond",1996.79898634771,156,68,51,50,8,7,5,13,6,0,2,2,6,1,1,0,6,0,1,1,0,0
"5897","298",47.1775,-95.162675,298,"Bog D Pond",2139.08808060903,108,78,60,71,10,9,16,17,13,0,1,2,5,2,0,0,5,0,0,1,1,0
"5898","298",47.1775,-95.162675,298,"Bog D Pond",2291.86197958181,93,44,48,112,12,12,22,27,7,0,0,3,4,2,0,4,3,0,0,1,0,0
"5899","298",47.1775,-95.162675,298,"Bog D Pond",2604.45606372245,57,37,65,103,16,9,16,42,6,0,2,3,11,2,2,1,3,0,0,4,0,1
"5900","298",47.1775,-95.162675,298,"Bog D Pond",2750.27503365833,65,52,63,98,12,11,15,39,17,0,3,2,7,2,0,6,2,0,0,4,0,0
"5901","298",47.1775,-95.162675,298,"Bog D Pond",2876.76744764163,27,47,51,100,11,9,17,31,12,0,2,0,12,6,2,2,2,0,0,6,0,0
"5902","298",47.1775,-95.162675,298,"Bog D Pond",3083.4371611366,18,33,62,96,12,9,15,43,4,0,2,4,18,3,1,3,1,0,0,3,0,0
"5904","298",47.1775,-95.162675,298,"Bog D Pond",3282.93829228455,19,81,74,85,9,24,8,83,5,0,0,1,13,5,0,3,2,0,0,3,2,0
"5905","298",47.1775,-95.162675,298,"Bog D Pond",3487.47982442679,38,64,87,62,12,16,32,53,15,0,2,3,4,4,3,0,1,0,0,4,1,0
"5906","298",47.1775,-95.162675,298,"Bog D Pond",3692.25271811296,7,81,63,116,7,16,14,69,8,0,1,4,11,2,0,0,1,0,0,2,0,0
"5907","298",47.1775,-95.162675,298,"Bog D Pond",3890.43895731292,27,100,119,180,12,21,31,84,7,0,2,1,9,6,3,4,0,0,0,0,1,0
"5908","298",47.1775,-95.162675,298,"Bog D Pond",4090.0559330453,26,187,122,293,17,23,20,53,11,0,1,0,10,5,0,7,1,0,0,0,1,1
"5909","298",47.1775,-95.162675,298,"Bog D Pond",60.6439827110781,202,62,16,62,5,11,17,3,4,0,7,2,2,4,3,2,12,0,0,0,2,0
"5910","298",47.1775,-95.162675,298,"Bog D Pond",4287.90451024358,40,105,155,156,21,21,15,35,11,0,2,1,14,3,9,1,0,0,0,0,0,0
"5911","298",47.1775,-95.162675,298,"Bog D Pond",4390.35538303075,46,94,136,64,8,20,23,16,7,0,0,1,2,5,2,7,0,0,1,0,0,2
"5912","298",47.1775,-95.162675,298,"Bog D Pond",4495.62656478903,114,312,220,68,20,40,56,20,11,0,1,3,19,2,0,19,1,0,0,0,0,0
"5913","298",47.1775,-95.162675,298,"Bog D Pond",4829.02726672838,69,272,231,86,47,59,47,16,9,0,3,2,5,1,1,16,0,0,0,0,0,0
"5914","298",47.1775,-95.162675,298,"Bog D Pond",5168.60157895535,52,138,79,15,15,17,20,9,2,0,0,0,2,0,1,7,0,0,0,0,0,0
"5915","298",47.1775,-95.162675,298,"Bog D Pond",5511.18517186717,23,173,91,18,20,16,21,1,4,0,0,0,3,0,0,2,0,0,0,0,0,0
"5916","298",47.1775,-95.162675,298,"Bog D Pond",77.7173435985367,233,59,12,34,7,6,10,7,2,0,7,3,1,1,0,0,7,0,1,0,3,0
"5917","298",47.1775,-95.162675,298,"Bog D Pond",5858.53867086187,39,104,81,22,29,32,12,10,6,0,0,0,3,0,0,10,0,0,0,0,0,1
"5918","298",47.1775,-95.162675,298,"Bog D Pond",6207.83847847118,14,125,114,7,27,13,9,7,5,0,0,0,4,3,1,5,0,0,0,0,0,0
"5919","298",47.1775,-95.162675,298,"Bog D Pond",6555.34247304308,21,185,71,9,33,22,16,2,1,0,1,0,3,1,2,13,0,0,0,0,0,0
"5920","298",47.1775,-95.162675,298,"Bog D Pond",6905.36586798947,22,136,103,7,15,16,3,4,7,0,0,0,2,2,1,13,0,0,0,0,0,0
"5921","298",47.1775,-95.162675,298,"Bog D Pond",7252.64166370428,17,168,65,2,61,40,10,1,4,0,0,1,1,7,1,32,0,0,1,1,0,0
