"","X","dataset","lat","long","in.calib.sample","biomass","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"127",127,"3062",45.425,-93.183333,0,130.865287462269,161,10,17,53,13,1,2,4,3,9,6,1,1,0,0,1,1,0,0,0,2,0
"128",128,"3081",43.916944,-89.166944,0,88.9693129150875,248,11,22,106,21,2,18,3,8,11,10,8,5,5,0,0,0,0,0,1,4,0
"129",129,"313",45.783333,-89.483333,1,73.7563826073583,338,11,29,125,23,2,8,7,7,31,18,7,6,16,0,0,2,0,1,2,6,0
"130",130,"3131",46.18693,-89.702685,1,30.0147183541247,257,19,51,41,13,4,14,5,7,1,5,4,6,7,0,0,4,0,3,1,2,0
"131",131,"3138",46.416944,-92.716944,1,88.9693129150875,193,6,16,143,10,0,12,0,4,27,7,6,2,1,0,1,0,0,1,0,6,1
"132",132,"314",44.95769,-93.545105,0,88.9693129150875,475,15,16,76,20,1,10,3,3,42,25,10,4,0,0,0,0,1,1,1,5,0
"133",133,"325",47.924167,-91.994722,1,88.9693129150875,289,12,19,110,11,2,13,1,8,22,9,5,5,1,0,0,0,0,1,0,3,0
"134",134,"332",46.666667,-88.016667,0,43.628108866948,25.5,87,90,91,13,16,13,64,14,1,2,2,7,6,0,2,3,0,1,7,0,0
"135",135,"333",45.986111,-89.375,1,80.5147196537243,159,18,22,140,14,0,12,3,4,72,6,8,1,2,0,0,1,1,1,0,5,0
"136",136,"334",44.70722,-93.497645,0,87.8995829815204,308,15,26,259,10,0,15,4,7,37,12,4,0,2,0,1,0,1,1,1,5,1
"137",137,"3452",45.3,-90.35,1,145.765061974327,235,2676,31,45,19,1,13,4,3,0,6,1,4,0,0,2,3,0,1,5,1,0
"138",138,"3455",44.77085,-93.12255,1,177.889237099712,328,34,50,95,22,3,14,13,5,0,2,5,8,2,0,0,7,0,0,2,5,1
"139",139,"3483",48.142555,-91.11254,1,24.5773751735758,376,16,32,49,13,1,9,2,9,3,7,1,1,4,0,0,0,0,1,0,2,2
"140",140,"3485",46.427222,-84.958333,1,33.6442684564922,156,10,12,26,9,0,13,0,5,1,2,0,0,3,0,0,0,0,1,0,5,0
"141",141,"3486",46.427222,-84.958333,0,115.031265586697,347,13,13,147,22,1,17,4,4,24,16,3,1,1,0,0,1,0,0,0,4,0
"142",142,"3492",47.244755,-95.007715,0,111.694302379979,167,25,38,60,65,7,16,4,7,0,0,3,5,26,2,1,3,0,0,0,0,0
"143",143,"352",45.411111,-93.197222,1,158.478458349836,198,2,7,99,5,2,9,4,3,76,12,10,1,0,26,1,2,15,0,1,4,0
"144",144,"3541",45.03503,-93.6305,0,131.971221755532,257,5,15,49,4,0,6,1,5,20,2,3,3,2,0,0,0,0,2,0,1,0
"145",145,"3558",45.03503,-93.6305,0,100.999190923551,280,13,23,130,16,1,14,8,8,51,18,4,3,1,0,0,0,0,0,0,6,0
"146",146,"3563",41.583056,-85.25,0,97.484536426299,117,7,9,90,18,3,20,3,1,16,11,4,0,2,0,1,0,0,0,0,6,0
"147",147,"3620",44.45,-87.515556,1,10.8156912648651,36,118,80,22,31,39,5,17,7,0,4,0,4,1,1,5,1,0,1,5,1,0
"148",148,"3784",48.098755,-92.010535,0,22.8173233301572,36.5,80,79,45,20,12,19,14,3,0,6,1,2,0,5,3,1,0,0,1,1,1
"149",149,"3786",48.098755,-92.010535,0,81.9624162551233,148.5,32,34,187,177,7,12,14,8,25,14,38,5,0,11,1,7,24,2,1,5.5,2
"150",150,"3788",48.098755,-92.010535,0,97.484536426299,67,3,15,125,9,0,3,1,2,48,3,8,4,6,38,4,2,0,0,0,1,0
"151",151,"382",47.172305,-94.938965,0,8.55156067148377,56,90,100,39,23,19,16,15,7,0,3.5,1,9,6,0,12,0,0,0,0,0,1
"152",152,"3831",43.416667,-84.883333,1,38.9216936683614,341,31,25,65,16,2,15,2,3,1,6,5,3,3,0,3,0,0,0,0,3,0
"153",153,"3837",47.471667,-91.66,1,72.8611376898976,213,15,20,148,158,54,11,10,12,17,11,8,0,0,0,0,1,14,1,0,9,0
"154",154,"490",41.638535,-86.544595,1,119.701132742177,232,22,18,203,9,1,23,12,3,62,11,0,5,4,0,1,1,0,0,0,4,0
"155",155,"515",45.76101,-96.01988,0,22.8173233301572,39.5,67,58,34,15,13,27,20,7,0,3.5,1,3,6,1,5,1,0,0,1,0,0
"156",156,"521",47.182465,-95.73495,0,60.1208607799157,157,56,38,32,14,9,8,42,12,1,2,5,7,2,0,1,1,0,1,0,2,1
"157",157,"532",44.7,-84.958333,1,130.166236148686,232,19,27,199,17,3,16,2,5,91,18,7,6,3,0,1,1,1,1,2,12,2
"158",158,"545",46.173889,-95.915278,1,71.296981727716,107,25,18,28,14,5,15,14,3,1,1,0,3,0,0,0,0,0,0,1,0,1
"159",159,"546",45.275,-91.475,1,36.6886162751827,298,24,22,74,14,7,18,4,4,6,9,1,2,4,0,1,0,0,0,0,3,0
"160",160,"679",43.48,-85,1,43.5426113240561,494,31,25,92,15,9,10,4,0,5,17,0,2,3,0,0,0,0,0,1,4,0
"161",161,"681",45.85,-89.316667,1,32.5469200941858,140,44,34,34,40,14,12,11,4,0,3,3,3,0,1,0,1,0,0,1,0,0
"162",162,"684",43.4178,-89.73205,1,91.3630558258797,416.5,15,23,85,46,8,13,8,7,13,17,4,4,0,1,2,0,9,0,0,3,0
"163",163,"717",48.183333,-92.183333,1,74.5853162183769,237,22,31,84,22,5,16,9,2,0,3,3,3,3,1,2,2,0,0,0,2,1
"164",164,"774",47.708333,-91.641667,1,31.0433466257546,316,24,32,73,16,4,18,2,3,3,11,2,2,2,0,0,0,0,0,1,2,0
"165",165,"781",45.333333,-93.508333,1,58.5783322988386,237,15,20,42,12,2,10,0,6,1,5,2,3,2,0,1,1,0,1,0,2,0
"166",166,"786",44.47012,-93.619035,0,32.8993830159798,108,5,9,28,2,1,6,0,3,4,4,2,1,0,0,0,0,0,0,0,1,1
"167",167,"817",47.272455,-96.09405,0,32.8993830159798,228,23,17,63,13,6,23,2,0,3,4,0,1,4,0,3,0,0,0,1,0,0
"168",168,"822",44.75815,-93.16449,1,63.1180499139425,175,11,15,64,18,4,5,0,3,0,1,3,1,1,0,1,2,0,0,2,9,0
"169",169,"824",46.218889,-94.753333,1,51.7474914545435,183,26,16,80,14,1,24,0,4,5,5,2,1,4,0,1,1,0,0,0,1,0
"170",170,"846",47.165,-95.558333,1,111.548610043419,51,8,8,46,5,0,5,1,1,6,11,7,1,1,0,0,0,9,0,0,1,0
"171",171,"847",42.33,-83.63,1,111.548610043419,108,9,19,108,11,0,1,3,3,18,9,14,2,2,1,1,1,17,1,0,2,0
"172",172,"850",44.945765,-94.42074,1,111.548610043419,111,6,22,120,13,0,4,1,4,20,15,13,0,0,1,0,3,8,1,0,2,0
"173",173,"860",44.05,-87.733333,1,90.6806870976048,285,11,11,112,26,6,7,5,5,23,20,12,0,0,7,3,1,16,1,1,5,0
"174",174,"869",44.2329,-93.87066,1,192.314428521141,112,13,16,171,7,10,6,10,12,96,7,12,3,7,4,0,0,9,1,1,1,0
"175",175,"967",46.583333,-92.466667,1,45.9440067017058,373,18,24,70,12,2,24,7,2,2,7,4,1,7,0,0,0,0,0,1,1,0
"176",176,"990",47.2036,-95.755515,0,59.3446315538247,317,40,39,78,94.5,23,22,18,5,0,9,5,5,44,13,2,5.5,0,0,0,3.5,0
"177",177,"CALPRE1",45.917883,-89.434358,0,130.249960727325,92,6,7,137,11,1,3,4,8,27,7,6,0,0,0,0,0,8,0,0,0,0
"178",178,"CALPRE10",45.934297,-89.519786,1,48.5086027662019,438,28,32,192,20,2,24,5,7,18,14,6,6,15,0,1,0,0,3,1,5,0
